RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO
RA-815;FASE 1;1R;;;;Masculino;2022;Pública;;;Ágata;6,81;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;0,0;8,6;5,02;;6,5;;;;;;7,063333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,122166667;Agata;Aluno-815;2013-01-10 00:00:00;1900-01-10 00:00:00;6,875;7,0;6,0;;-1,0;;;;;;;;;;6,81;1;Médio;Baixo;Excelente;Médio;Médio;Médio;Bom;Médio;Defasado;-6,5;2,0999999999999996;1,875;5,676388888833333;1;4;;0,8761096790923635;Psico abaixo de 7;1
RA-717;FASE 1;1G;;;;Feminino;2021;Pública;;Ametista;Ágata;6,832;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;0,0;8,5;7,52;;5,9;;;;;;8,446666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;6,633833333;Agata;Aluno-717;8/17/2012;11;8,125;5,5;6,3;;-1,0;;;;;;;;;;6,832;1;Médio;Baixo;Excelente;Bom;Bom;Médio;Bom;Médio;Defasado;-5,9;2,5999999999999996;3,125;6,415277777833334;1;2;;0,8758029356137003;Misto;1
RA-722;FASE 1;1N;;;;Feminino;2021;Pública;;Topázio;Ametista;7,41;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;8,5;9,6;2,52;;6,4;;;;;;8,67;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,3387;Ametista;Aluno-722;2013-05-10 00:00:00;1900-01-10 00:00:00;8,125;4,5;8,2;;-1,0;;;;;;;;;;7,41;1;Bom;Excelente;Excelente;Baixo;Bom;Médio;Excelente;Médio;Defasado;2,0999999999999996;3,1999999999999993;3,125;7,302500000000001;1;2;;0,8758029356137003;Psico abaixo de 7;1
RA-706;ALFA;ALFA G - G2/G3;;;;Feminino;2021;Pública;;Ágata;Ametista;7,659;;;;2,0;Avaliador-13;;Avaliador-3;;;;;;9,0;7,8;4,39;;7,3;;;;;;8,08;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,1527;Ametista;Aluno-706;2012-10-12 00:00:00;1900-01-10 00:00:00;6,875;6,7;7,8;;-2,0;;;;;;;;;;7,659;1;Bom;Excelente;Bom;Baixo;Médio;Bom;Bom;Médio;Defasado;1,7000000000000002;0,5;1,875;7,240833333333334;1;2;;0,8743214447423443;Psico abaixo de 7;1
RA-905;ALFA;ALFA J - G2/G3;;;;Masculino;2023;Pública;;;;;;;;2,0;Avaliador-3;;Avaliador-13;;;;;;9,002;7,7794117645;7,51;;3,0;;;;;;6,99;5,0;Fase 2 (5° e 6° ano);;;;;2024;;;Aluno-905;2013-11-27 00:00:00;10;6,875;2,0;4,0;;-2,0;6.3925823529;Agata;Ametista;7,831033333;;;EM Pedro Antonio de Almeida;Cursando;Cursando;6,3925823529;1;Médio;Excelente;Bom;Bom;Médio;Baixo;Médio;Médio;Defasado;6,002000000000001;4,7794117645;1,875;6,85940196075;1;3;EM Pedro Antonio de Almeida;0,8738997198742351;Psico abaixo de 7;1
RA-1371;ALFA;ALFA S - G2/G3;;;;Feminino;2024;Pública;;;;;;;;2,0;Avaliador-3;;Avaliador-13;;;;;;7,502;6,9782608695;7,51;;4,5;;;;;;7,5;5,0;Fase 1 (3° e 4° ano);;;;;2024;;;Aluno-1371;2013-06-26 00:00:00;11;6,875;3,0;6,0;;-1,0;6.4843521739;Agata;;;;;EE Helio Luiz Dobrochinski Prof;Cursando;Cursando;6,4843521739;1;Médio;Bom;Médio;Bom;Médio;Baixo;Bom;Médio;Defasado;3,002;2,4782608694999997;1,875;6,810876811583333;1;3;EE Helio Luiz Dobrochinski Prof;0,8738997198742351;IDA e IEG < 7;1
RA-1353;ALFA;ALFA Q - G2/G3;;;;Feminino;2024;Pública;;;;;;;;2,0;Avaliador-12;;Avaliador-13;;;;;;8,002;9,5;7,51;;3,0;;;;;;6,08;5,0;Fase 1 (3° e 4° ano);;;;;2024;;;Aluno-1353;2014-10-19 00:00:00;10;6,875;3,5;2,5;;-1,0;6.454700000000001;Agata;;;;;EE Luiz Schunck;Cursando;Cursando;6,454700000000001;1;Médio;Bom;Excelente;Bom;Médio;Baixo;Médio;Médio;Defasado;5,002000000000001;6,5;1,875;6,827833333333333;1;3;EE Luiz Schunck;0,8738997198742351;Psico abaixo de 7;1
RA-1338;ALFA;ALFA M - G0/G1;;;;Masculino;2024;Pública;;;;;;;;2,0;Avaliador-3;;Avaliador-11;;;;;;8,002;8,6607142855;7,51;;3,0;;;;;;5,33;5,0;Fase 1 (3° e 4° ano);;;;;2024;;;Aluno-1338;2015-12-11 00:00:00;8;6,875;2,0;4,0;;-1,0;6.1368428571;Agata;;;;;EM Cecilia Cristina de Oliveira Rodrigues;Cursando;Cursando;6,1368428571;1;Médio;Bom;Excelente;Bom;Médio;Baixo;Médio;Médio;Defasado;5,002000000000001;5,660714285499999;1,875;6,562952380916666;1;3;EM Cecilia Cristina de Oliveira Rodrigues;0,8738997198742351;Psico abaixo de 7;1
RA-791;FASE 1;1K;;;;Feminino;2022;Pública;;;Ametista;7,507;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;0,0;8,1;7,52;;5,3;;;;;;7,723333333;5,0;Fase 3 (7° e 8° ano);;;;;2023;6,247916667;Agata;Aluno-791;2011-02-10 00:00:00;1900-01-12 00:00:00;7,8125;6,0;4,5;;-2,0;;;;;;;;;;7,507;1;Bom;Baixo;Bom;Bom;Bom;Médio;Bom;Médio;Defasado;-5,3;2,8;2,8125;6,0759722221666665;1;2;;0,8738652831427525;Misto;1
RA-1030;FASE 1;1C;;;;Masculino;2023;Pública;;;;;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;8,5;9,7;3,77;;6,9;;;;;;8,39;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,4027;Ametista;Aluno-1030;2012-10-08 00:00:00;1900-01-11 00:00:00;6,875;6,2;7,5;;-1,0;;;;;;;;;;7,4027;1;Bom;Excelente;Excelente;Baixo;Médio;Médio;Bom;Médio;Defasado;1,5999999999999996;2,799999999999999;1,875;7,355833333333333;1;3;;0,8712082684690138;Psico abaixo de 7;1
RA-806;ALFA;ALFA Q - G2/G3;;;;Masculino;2022;Pública;;;Ametista;7,561;;;;2,0;Avaliador-13;;Avaliador-3;;;;;;8,5;8,3;6,27;;7,8;;;;;;7,095;5,0;Fase 1 (3° e 4° ano);;;;;2023;7,2937;Ametista;Aluno-806;2/28/2014;9;6,875;7,8;7,7;;-1,0;;;;;;;;;;7,561;1;Bom;Excelente;Bom;Médio;Médio;Bom;Bom;Médio;Defasado;0,7000000000000002;0,5000000000000009;1,875;7,473333333333333;0;2;;0,8689637270598883;Psico abaixo de 7;1
RA-713;FASE 1;1G;;;;Masculino;2021;Pública;;Ametista;Ametista;7,42;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;8,0;9,6;3,77;;7,5;;;;;;8,166666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,408033333;Ametista;Aluno-713;2/26/2013;10;6,875;6,7;8,2;;-1,0;;;;;;;;;;7,42;1;Bom;Bom;Excelente;Baixo;Médio;Bom;Bom;Médio;Defasado;0,5;2,0999999999999996;1,875;7,318611111166668;1;2;;0,865787826801139;Psico abaixo de 7;1
RA-1050;FASE 1;1H;;;;Masculino;2023;Pública;;;;;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;9,0;9,2;6,27;;7,2;;;;;;8,223333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,764366667;Ametista;Aluno-1050;4/15/2012;11;8,125;6,2;8,2;;-1,0;;;;;;;;;;7,764366667;1;Bom;Excelente;Excelente;Médio;Bom;Bom;Bom;Médio;Defasado;1,7999999999999998;1,9999999999999991;3,125;8,0030555555;0;1;;0,8641180354593306;Psico abaixo de 7;1
RA-652;FASE 1;1P;;;;Feminino;2022;Pública;;;Topázio;8,151;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;9,0;9,4;6,89;;7,0;;;;;;8,446666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,871033333;Ametista;Aluno-652;2013-02-06 00:00:00;1900-01-10 00:00:00;8,125;6,2;7,8;;-1,0;;;;;;;;;;8,151;1;Bom;Excelente;Excelente;Médio;Bom;Bom;Bom;Médio;Defasado;2,0;2,4000000000000004;3,125;8,143611111166667;0;1;;0,8641180354593306;Psico abaixo de 7;1
RA-745;FASE 1;1G;;;;Masculino;2021;Privada - Programa de Apadrinhamento;;Topázio;Ametista;7,382;;;;3,0;Avaliador-15;;Avaliador-4;;Avaliador-3;;;;9,5;9,3;3,77;;7,0;;;;;;8,893333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,668366667;Ametista;Aluno-745;2013-04-08 00:00:00;1900-01-10 00:00:00;8,125;5,7;8,2;;-1,0;;;;;;;;;;7,382;1;Bom;Excelente;Excelente;Baixo;Bom;Bom;Excelente;Médio;Defasado;2,5;2,3000000000000007;3,125;7,764722222166667;1;1;;0,8641180354593306;Psico abaixo de 7;1
RA-645;FASE 1;1R;;;;Feminino;2022;Pública;;;Ágata;6,086;;;;3,0;Avaliador-15;;Avaliador-5;;Avaliador-2;;;;9,0;8,5;6,27;;7,3;;;;;;8,116666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;7,613033333;Ametista;Aluno-645;10/25/2012;11;8,125;6,5;8,0;;-1,0;;;;;;;;;;6,086;1;Médio;Excelente;Excelente;Médio;Bom;Bom;Bom;Médio;Defasado;1,7000000000000002;1,2000000000000002;3,125;7,885277777833333;0;1;;0,8641180354593306;Psico abaixo de 7;1
RA-784;FASE 1;1L;;;;Feminino;2022;Pública;;;Topázio;8,34;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-2;;;;10,0;9,5;7,52;;7,3;;;;;;8,783333333;5,0;Fase 2 (5° e 6° ano);;;;;2023;8,171366667;Topázio;Aluno-784;4/24/2013;10;8,125;6,5;8,0;;-1,0;;;;;;;;;;8,34;1;Bom;Excelente;Excelente;Bom;Bom;Bom;Excelente;Médio;Defasado;2,7;2,2;3,125;8,5380555555;0;0;;0,8641180354593306;Todos >= 7;1
RA-1033;FASE 1;1D;;;;Feminino;2023;Pública;;;;;;;;3,0;Avaliador-19;;Avaliador-4;;Avaliador-3;;;;9,0;8,9;7,52;;7,9;;;;;;9,006666667;5,0;Fase 2 (5° e 6° ano);;;;;2023;8,126033333;Topázio;Aluno-1033;2012-09-04 00:00:00;1900-01-11 00:00:00;8,125;7,0;8,8;;-1,0;;;;;;;;;;8,126033333;1;Bom;Excelente;Excelente;Bom;Bom;Bom;Excelente;Médio;Defasado;1,0999999999999996;1,0;3,125;8,408611111166666;0;0;;0,8641180354593306;Todos >= 7;1
RA-104;FASE 5;5F;;;;Masculino;2022;Pública;;;Ágata;6,315;;;;4,0;Avaliador-24;;Avaliador-7;;Avaliador-23;;Avaliador-8;;0,0;7,7;2,52;;2,6;;;;;;5,6275;2,5;Fase 8 (Universitários);;;;;2023;4,25;Quartzo;Aluno-104;2004-06-08 00:00:00;1900-01-19 00:00:00;5,625;3,7;1,8;2,3;-3,0;;;;;;;;;;6,315;1;Médio;Baixo;Bom;Baixo;Médio;Baixo;Médio;Baixo;Defasado;-2,6;5,1;3,125;4,012083333333334;3;5;;0,8632720843421359;Psico abaixo de 7;1
